Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Andrei Bokarev,1.7,50,Russia,Y,N,Y,N,N,N,N,N,2013,3,1,1,2,Manufacturing,male,"coal mining, machine building, Self Made","Bachelor of Arts / Science, Finance Academy under the Government of the Russian Federation",1,0.6,Europe,2017,2015,,President,The Hustler,
Yakir Gabay,1.7,50,Cyprus,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Real Estate,male,"real estate, Self Made",NA,0,1,Europe,2017,,,,The Newbie,
Kim Beom-Su,1.7,50,South Korea,Y,N,Y,Y,N,N,N,N,2015,3,0,0,0,Service,male,"online services, Self Made","Bachelor of Science in Engineering, Seoul National University; Master of Science, Seoul National University",2,1,Asia,2017,,,,The Newbie,
Shuai Fangwen,1.7,50,China,Y,N,N,N,N,N,N,N,2015,3,0,0,0,Health care,male,"pharmaceuticals, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Wang Laichun,1.7,49,China,Y,N,N,N,Y,N,N,N,2014,4,0,0,0,Technology,female,"electronics components, Self Made","EMBA, Tsinghua University",1,1,Asia,2017,,2004,Chairwomen,The Consistent,
Mike Lazaridis,1.7,49,Canada,Y,N,Y,N,N,N,N,N,2007,5,1,0,0,Technology,male,"Research in Motion, Self Made","Bachelor of Arts / Science, University of Waterloo",1,0.45,North America,2011,2012,,,The Ghost,
Nirav Modi,1.7,46,India,N,N,N,N,N,N,N,N,2013,5,0,0,0,Fashion and Retail,female,diamond jewelry,NA,0,1,Asia,2017,,1999,,The Consistent,
Theodore Waitt,1.7,46,United States,N,N,N,N,N,N,N,N,2007,3,1,0,0,Technology,male,NA,NA,0,0.27,North America,2009,2010,1985,Founder,The Ghost,23
Ranjan Pai,1.7,44,India,N,N,N,N,N,N,N,N,2013,5,0,0,0,Service,male,education,NA,0,1,Asia,2017,,1953,,The Consistent,
Hamdi Ulukaya,1.7,44,Turkey,Y,N,N,N,N,N,N,N,2013,5,0,0,0,Food and Beverage,male,"Chobani yogurt, Self Made",NA,0,1,Middle East,2017,,2005,,The Consistent,33
Marc Samwer,1.7,44,Germany,Y,N,N,N,N,Y,N,N,2015,1,1,0,0,Technology,male,"tech startups, Self Made","LLM, University of Cologne",1,0.33,Europe,2015,2016,,,The Newbie,
Ana Lucia de Mattos Barretto Villela,1.7,43,Brazil,N,N,N,N,N,N,N,N,2011,6,1,1,1,Finance,female,banking,NA,0,0.86,South America,2017,2016,1966,,The Consistent,
Miguel McKelvey,1.7,42,United States,Y,N,N,N,N,N,N,N,2016,2,0,0,0,Service,male,"WeWork, Self Made",NA,0,1,North America,2017,,,,The Newbie,
Oliver Samwer,1.7,41,Germany,Y,N,Y,N,N,N,N,N,2015,1,1,0,0,Technology,male,"tech startups, Self Made","Bachelor of Arts / Science, WHU Otto Beisheim School of Management",1,0.33,Europe,2015,2016,,,The Newbie,
Chen Xiaoying,1.7,40,China,Y,N,N,N,N,N,N,N,2017,1,0,0,0,Logistics,male,"package delivery, Self Made",NA,0,1,Asia,2017,,,,The Newbie,
Alexander Samwer,1.7,40,Germany,Y,N,N,Y,Y,N,N,N,2015,1,1,0,0,Technology,male,"tech startups, Self Made","Master of Arts, Oxford University; Master of Business Administration, Harvard Business School",2,0.33,Europe,2015,2016,,,The Newbie,
Zhou Yahui,1.7,39,China,Y,N,N,N,N,N,N,N,2015,2,1,0,0,Gaming,male,NA,NA,0,0.67,Asia,2016,2017,,,The Newbie,
Edgar de Picciotto,1.65,86,Switzerland,Y,N,N,N,N,N,N,N,2014,3,1,0,0,Finance,male,"private banking, Self Made",NA,0,0.75,Europe,2016,2017,1969,,The Consistent,40
Gabriele Stoschek,1.6,n/a,Germany,N,N,N,N,N,N,N,N,2017,1,0,0,0,Automotive,male,auto parts,NA,0,1,Europe,2017,,,,The Newbie,
George Joseph,1.6,95,United States,Y,N,Y,N,N,N,N,N,2007,10,1,1,1,Finance,male,"insurance, Self Made","Bachelor of Arts / Science, Harvard University",1,0.91,North America,2017,2009,1961,Founder,The Consistent,40
Billy Joe (Red) McCombs,1.6,89,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Media,male,"real estate, oil, cars, Self Made","Drop Out, The University of Texas at Austin",0,1,North America,2017,,,Founder,The Consistent,
Fayez Sarofim,1.6,88,United States,N,N,Y,N,Y,N,N,N,2007,7,1,1,4,Finance,male,money management,"Bachelor of Arts / Science, University of California Berkeley; Master of Business Administration, Harvard University",2,0.64,North America,2017,2009,1958,Relation,The Hustler,
