Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
Singapore,N,N,N,Real Estate,1947,Relation,-8,The Consistent,Asok Kumar Hiranandani
United States,Y,Y,N,Retail,NA,NA,NA,The Consistent,Edward Stack
Taiwan,N,N,N,Food and Beverage,NA,Founder,NA,The Consistent,Wei Ying-Chiao
United States,N,N,N,Service,NA,NA,NA,The Ghost,William Connor
Israel,Y,N,N,Metals and Mining,1934,Founder,-22,The Consistent,Lev Leviev
China,Y,N,N,Real Estate,1992,NA,37,The Consistent,Ni Zhaoxing
Russia,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler,Gavril Yushvaev
United States,Y,N,N,Agriculture,NA,NA,NA,The Ghost,Dennis Albaugh
South Korea,N,Y,Y,Diversified,NA,NA,NA,The Ghost,Huh Chang-Soo
Italy,Y,N,N,Fashion and Retail,1987,Founder,29,The Consistent,Domenico Dolce
Turkey,N,N,Y,Construction and Engineering,1957,NA,-2,The Consistent,Mehmet Sinan Tara
China,Y,N,N,Retail,NA,NA,NA,The Ghost,He Jinming
United States,N,N,N,Agriculture,NA,NA,NA,The Hustler,"Cargill MacMillan, III."
Russia,Y,N,N,Energy,NA,Founder,NA,The Hustler,David Yakobashvili
Russia,Y,Y,N,Diversified,2004,NA,47,The Hustler,Nikolai Maximov
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Timothy Blixseth
United States,Y,Y,N,Finance,NA,NA,NA,The Hustler,Stephen Feinberg
India,Y,Y,N,Energy,1998,Founder,38,The Hustler,Ajay Kalsi
Russia,Y,Y,N,Energy,1989,Supervisory Board Or Directors,28,The Consistent,Andrei Kosogov
United States,Y,Y,N,Finance,1992,NA,34,The Hustler,Richard Chilton Jr
Hong Kong,Y,Y,N,Automotive,NA,NA,NA,The Hustler,Huang Yi
Nigeria,N,N,N,Retail,NA,NA,NA,The Consistent,Abdulsamad Rabiu
Italy,Y,Y,N,Fashion and Retail,1987,Founder,25,The Consistent,Stefano Gabbana
Russia,Y,Y,N,Health care,NA,NA,NA,The Hustler,Vadim Yakunin
Ukraine,Y,Y,N,Finance,NA,Founder,NA,The Hustler,Serhiy Tihipko
Germany,N,N,N,Media,1948,Relation,-16,The Consistent,Stefan von Holtzbrinck
Nigeria,Y,N,N,Service,NA,NA,NA,The Hustler,Femi Otedola
China,Y,N,Y,Health care,NA,NA,NA,The Ghost,Li Jinyuan
Malaysia,N,Y,N,Energy,1975,Founder,14,The Hustler,Mokhzani Mahathir
United States,Y,Y,N,Technology,NA,NA,NA,The Ghost,Rajendra Singh
Czech Republic,Y,Y,Y,Metals and Mining,1994,Founder,34,The Hustler,Zdenek Bakala
Russia,Y,Y,Y,Diversified,NA,NA,NA,The Hustler,Oleg Boyko
Finland,N,N,N,Manufacturing,NA,Relation,NA,The Consistent,Ilona Herlin
China,Y,Y,N,Health care,NA,NA,NA,The Hustler,Li Tan
South Africa,Y,Y,N,Health care,1997,Founder,33,The Consistent,Stephen Saad
Russia,Y,Y,N,Construction and Engineering,NA,NA,NA,The Consistent,Lev Kvetnoi
United States,Y,Y,Y,Software,2007,Founder,42,The Hustler,Mark Pincus
China,Y,Y,N,Service,1993,Founder,28,The Consistent,Wen Yibo
China,Y,N,N,Health care,1999,Chairman,33,The Hustler,Zhu Wenchen
Greece,N,N,N,Logistics,NA,NA,NA,The Ghost,John Coustas
China,Y,Y,Y,Energy,NA,NA,NA,The Ghost,Miao Liansheng
Italy,Y,Y,N,Telecom,1999,Founder,41,The Ghost,Silvio Scaglia
China,Y,N,N,Retail,NA,NA,NA,The Hustler,Tu Jianhua
Russia,Y,N,N,Telecom,NA,Founder,NA,The Consistent,Gleb Fetisov
South Korea,Y,Y,N,Gaming,NA,NA,NA,The Consistent,Kim Tack-Jin
Russia,Y,N,N,Finance,1990,Founder,23,The Hustler,Oleg Tinkov
Russia,Y,Y,N,Manufacturing,1999,Founder,35,The Hustler,Anatoly Sedykh
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,Malone Mitchell
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost,Tang Xiuguo
Ukraine,Y,Y,N,Food and Beverage,1998,NA,30,The Consistent,Yuriy Kosiuk
China,Y,N,N,Automotive,2004,Founder,35,The Consistent,Wang Jianfeng
India,Y,N,N,Energy,NA,NA,NA,The Ghost,Vinod Tanti
Russia,Y,Y,N,Health care,NA,NA,NA,The Hustler,Viktor Kharitonin
China,Y,N,N,Telecom,1995,Chairman,22,The Consistent,Wang Jing
Turkey,N,N,N,Diversified,NA,NA,NA,The Ghost,Olgun Zorlu
Switzerland,Y,N,Y,Finance,NA,NA,NA,The Consistent,Gary Fegel
Israel,N,N,N,Metals and Mining,1996,Founder,23,The Consistent,Dan Gertler
Ukraine,Y,Y,N,Metals and Mining,1960,CEO,-14,The Hustler,Kostyantin Zhevago
China,Y,Y,N,Gaming,1999,Founder,27,The Hustler,Chen Tianqiao
China,Y,N,N,Retail,NA,NA,NA,The Ghost,Liu Zaiwang
Russia,Y,Y,N,Energy,NA,Chairman,NA,The Hustler,Mikhail Abyzov
Russia,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Sergei Polonsky
Norway,Y,N,N,Logistics,1959,Founder,28,The Hustler,Jacob Stolt-Nielsen
Brazil,N,N,N,Service,NA,NA,NA,The Ghost,Rosa Evangelina Marcondes Penido Dalla Vecchia
Malaysia,Y,N,N,Real Estate,1990,NA,35,The Hustler,Danny Tan Chee Sing
Russia,Y,Y,N,Real Estate,1991,Founder,23,The Hustler,Alexei Semin
China,Y,Y,Y,Software,2005,Founder,35,The Hustler,Qi Xiangdong
China,Y,N,N,Retail,1999,CEO,NA,The Hustler,Luo Fei
Australia,Y,N,N,Gaming,1953,Founder,30,The Consistent,Len Ainsworth
Brazil,N,N,N,Energy,NA,Relation,NA,The Consistent,Daisy Igel
Japan,N,N,N,Medicine,1912,Relation,-16,The Hustler,Shoji Uehara
United States,Y,Y,N,Energy,NA,NA,NA,The Ghost,Kenneth Adams
India,N,Y,N,Diversified,NA,NA,NA,The Ghost,Keshub Mahindra
Brazil,Y,N,N,Metals and Mining,1966,Founder,39,The Hustler,Jose Mendes Nogueira
Hong Kong,N,N,N,Retail,1888,Relation,-42,The Consistent,Lee Man Tat
Indonesia,Y,N,N,Metals and Mining,1996,Founder,69,The Hustler,Lim Hariyanto Wijaya Sarwono
United States,Y,Y,N,Finance,NA,Founder,NA,The Hustler,Sanford Weill
United States,N,N,N,Retail,NA,NA,NA,The Hustler,Joyce Raley Teel
Turkey,Y,N,N,Food and Beverage,NA,NA,NA,The Ghost,Kamil Yazici
Australia,N,N,N,Retail,1918,Relation,-14,The Hustler,Robert Ingham
Hong Kong,Y,Y,N,Real Estate,1972,NA,37,The Hustler,Gordon Wu
United Kingdom,N,N,N,Real Estate,NA,NA,NA,The Ghost,Albert Gubay
United States,Y,Y,Y,Finance,1969,Founder,33,The Consistent,Thomas Bailey
Philippines,Y,N,Y,Diversified,NA,NA,NA,The Hustler,Roberto Ongpin
United States,N,Y,N,Investments,NA,NA,NA,The Ghost,Jonathan Lovelace Jr
United States,Y,N,N,Energy,1920,Former Ceo,-15,The Hustler,Ray Irani
Brazil,N,N,N,Finance,1943,Relation,5,The Consistent,Lia Maria Aguiar
South Korea,N,Y,N,Automotive,1941,Relation,3,The Consistent,Cho Yang-Rai
Japan,N,N,N,Technology,1959,Founder,28,The Ghost,Kazuo Inamori
Israel,Y,N,N,Finance,1955,Founder,20,The Hustler,Shlomo Eliahu
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Yao Juhuo
Romania,Y,N,N,Finance,NA,NA,NA,The Hustler,Ion Tiriac
France,N,N,Y,Automotive,1957,NA,18,The Consistent,Jean Burelle
Japan,Y,Y,N,Gaming,NA,NA,NA,The Hustler,Kagemasa Kozuki
Australia,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Leonard Buckeridge
Israel,N,N,N,Food and Beverage,NA,NA,NA,The Ghost,Michael Strauss
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Hustler,Steven Roth
United States,N,Y,N,Media,NA,NA,NA,The Ghost,Oakleigh Thorne
United Kingdom,Y,N,N,Metals and Mining,1989,NA,50,The Hustler,Richard Elman
United States,N,N,N,Fashion and Retail,1948,NA,6,The Consistent,Daniel Hirschfeld
United States,Y,Y,Y,Investments,NA,NA,NA,The Ghost,Samuel Wyly
India,N,Y,N,Construction and Engineering,NA,NA,NA,The Hustler,Anu Aga
Peru,Y,Y,N,Fashion and Retail,1988,NA,43,The Consistent,Eduardo Belmont Anderson
Spain,Y,N,N,Investments,1952,NA,6,The Consistent,Alberto Cortina
Japan,N,N,N,Service,1955,Relation,9,The Consistent,Soichiro Fukutake
Egypt,Y,Y,Y,Diversified,1952,NA,6,The Consistent,Youssef Mansour
Turkey,N,N,N,Finance,NA,Relation,NA,The Consistent,Deniz Sahenk
France,N,N,N,Media,1926,Relation,-18,The Hustler,Elisabeth Badinter
United States,Y,Y,N,Food and Beverage,NA,NA,NA,The Ghost,Marvin Herb
Turkey,N,N,N,Finance,NA,NA,NA,The Consistent,Mehmet Rustu Basaran
Taiwan,Y,N,N,Real Estate,NA,NA,NA,The Consistent,Richard Chang
United Kingdom,Y,Y,N,Telecom,1998,NA,52,The Consistent,Mohammed Ibrahim
Brazil,Y,N,N,Energy,NA,NA,NA,The Ghost,Antonio Jose Carneiro
Brazil,Y,N,N,Media,1953,NA,8,The Hustler,Edir Macedo
Australia,Y,N,N,Real Estate,1976,Founder,32,The Hustler,Robert Ell
Germany,N,N,N,Media,1948,Relation,6,The Ghost,Dieter von Holtzbrinck
Spain,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,Jose Manuel Loureda
Canada,Y,Y,N,Finance,NA,NA,NA,The Ghost,Eric Sprott
Taiwan,Y,N,N,Technology,1997,CEO,46,The Consistent,Tsai Ming-Kai
United States,N,N,N,Energy,NA,NA,NA,The Hustler,"Daniel Harrison, III."
France,N,N,N,Automotive,1957,Relation,7,The Consistent,Laurent Burelle
South Korea,N,N,N,Manufacturing,1967,NA,15,The Consistent,Chung Mong-Joon
China,Y,N,Y,Fashion and Retail,1975,NA,24,The Consistent,Gao Dekang
United States,Y,Y,Y,Real Estate,NA,NA,NA,The Ghost,Edward Linde
South Korea,N,Y,N,Technology,1947,Relation,-3,The Hustler,Koo Bon-Neung
Turkey,N,N,N,Logistics,NA,NA,NA,The Ghost,Yalcin Sabanci
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler,Li Hongxin
Australia,Y,N,N,Real Estate,1913,Relation,-40,The Consistent,Alan Rydge
Russia,Y,N,N,Automotive,1996,Founder,47,The Hustler,Vladimir Scherbakov
India,N,N,Y,Telecom,NA,NA,NA,The Ghost,Bhupendra Kumar Modi
Russia,Y,N,N,Automotive,NA,NA,NA,The Ghost,Boris Berezovsky
Brazil,Y,N,N,Service,NA,NA,NA,The Ghost,Guilherme Paulus
United States,Y,N,N,Manufacturing,1979,Founder,25,The Hustler,Isaac Larian
India,Y,N,N,Software,NA,NA,NA,The Hustler,S.D. Shibulal
China,Y,N,N,Health care,NA,NA,NA,The Hustler,Xiu Laigui
Denmark,N,Y,N,Technology,1907,Relation,-45,The Hustler,Bent Jensen
United States,Y,N,N,Media,NA,NA,NA,The Ghost,Gary West
China,N,N,N,Manufacturing,NA,NA,NA,The Ghost,He Zhusheng
Australia,Y,N,N,Construction and Engineering,NA,NA,NA,The Ghost,John Grill
United States,Y,Y,N,Media,NA,NA,NA,The Ghost,Marc Nathanson
United States,Y,N,N,Service,NA,NA,NA,The Ghost,Mary West
Spain,N,Y,N,Construction and Engineering,1952,NA,-4,The Consistent,Maria Del Pino y Calvo-Sotelo
Russia,Y,Y,N,Energy,1991,Founder,38,The Hustler,Alexander Putilov
China,N,N,N,Manufacturing,NA,NA,NA,The Ghost,Cao Dewang
United States,Y,Y,N,Media,1980,Founder,34,The Ghost,Robert Johnson
China,N,N,N,Fashion and Retail,NA,NA,NA,The Ghost,Sheng Baijiao
Japan,N,N,N,Retail,1934,Relation,-13,The Ghost,Tadahiro Yoshida
United States,N,N,N,Retail,1923,Relation,-34,The Consistent,Andrea Reimann-Ciardelli
Israel,N,N,N,Metals and Mining,NA,NA,NA,The Consistent,Beny Steinmetz
Malaysia,Y,N,N,Software,1989,NA,35,The Hustler,Goh Peng Ooi
Romania,Y,N,N,Agriculture,1995,Founder,41,The Hustler,Ioan Niculae
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,John P Manning
Japan,Y,Y,N,Retail,NA,NA,NA,The Ghost,Muneaki Masuda
Turkey,N,Y,N,Health care,NA,NA,NA,The Ghost,Nezih Barut
China,Y,Y,N,Diversified,2007,Chairman,52,The Hustler,Zhang Hongwei
United States,Y,Y,Y,Finance,1993,NA,36,The Hustler,Henry Engelhardt
China,Y,N,Y,Diversified,1990,Chairman,32,The Consistent,Fu Kwan
China,Y,N,N,Media,2005,NA,48,The Consistent,Fu Meicheng
Russia,Y,Y,N,Retail,NA,NA,NA,The Consistent,Sergei Katsiev
Morocco,Y,N,N,Real Estate,1988,Founder,31,The Hustler,Anas Sefrioui
Uganda,Y,N,N,Real Estate,1985,NA,30,The Hustler,Sudhir Ruparelia
United Kingdom,Y,N,Y,Energy,1981,CEO,22,The Consistent,Ayman Asfari
United Kingdom,Y,N,N,Real Estate,NA,NA,NA,The Consistent,Mark Dixon
Singapore,Y,N,N,Fashion and Retail,NA,NA,NA,The Consistent,Ron Sim
Cyprus,N,N,N,Service,NA,NA,NA,The Consistent,Polys Haji-Ioannou
Switzerland,Y,N,N,Retail,1984,Founder,25,The Consistent,Thomas Meyer
Hong Kong,Y,N,N,Real Estate,NA,NA,NA,The Hustler,Yu Peidi
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost,Ren Yuanlin
Ukraine,Y,N,N,Metals and Mining,NA,Founder,NA,The Consistent,Victor Pinchuk
China,Y,Y,N,Real Estate,NA,Chairman,NA,The Consistent,Yang Keng
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent,Airat Shaimiev
United States,Y,Y,Y,Energy,NA,Founder,NA,The Hustler,Alexander Knaster
China,N,N,Y,Logistics,NA,NA,NA,The Ghost,Pang Qinghua
Spain,N,N,N,Metals and Mining,1902,Relation,-61,The Hustler,Jose Maria Aristrain
Spain,N,Y,Y,Construction and Engineering,1952,Relation,-11,The Consistent,D. Leopoldo Del Pino y Calvo-Sotelo
Ukraine,Y,N,N,Diversified,NA,NA,NA,The Consistent,Ihor Kolomoyskyy
Singapore,Y,N,N,Real Estate,NA,Founder,NA,The Consistent,Koh Wee Meng
Russia,Y,Y,N,Finance,1991,Founder,28,The Consistent,Andrei Rappoport
Russia,Y,Y,N,Media,1997,Founder,34,The Hustler,Arkady Volozh
United States,Y,Y,N,Media,NA,NA,NA,The Ghost,Norman Waitt Jr
United States,Y,Y,Y,Finance,1999,Founder,35,The Consistent,Robert Citrone
China,Y,Y,N,Service,2001,NA,37,The Consistent,Liu Zhenguo
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent,Radik Shaimiev
Russia,Y,N,N,Agriculture,NA,NA,NA,The Hustler,Alexander Lutsenko
United Kingdom,Y,Y,N,Finance,NA,NA,NA,The Ghost,Michael Spencer
Italy,N,N,N,Fashion and Retail,1920,NA,-46,The Consistent,Andrea Della Valle
Indonesia,Y,N,N,Media,1989,Founder,24,The Consistent,Hary Tanoesoedibjo
United States,Y,Y,Y,Telecom,NA,NA,NA,The Ghost,John Stanton
Hong Kong,Y,N,Y,Fashion and Retail,NA,NA,NA,The Ghost,Lin Congying
India,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Vinod Goenka
China,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost,Mao Zhongwu
Turkey,N,Y,Y,Diversified,NA,NA,NA,The Ghost,Mehmet Omer Koc
China,Y,Y,N,Retail,1994,NA,29,The Hustler,Shao Genhuo
China,Y,N,N,Manufacturing,NA,NA,NA,The Ghost,Xiang Wenbo
China,Y,N,N,Retail,NA,NA,NA,The Ghost,Ye Yuanxi
China,Y,N,N,Manufacturing,NA,NA,NA,The Hustler,Fan Zhaoxia
China,Y,Y,N,Real Estate,NA,NA,NA,The Hustler,Kong Jian Min
South Korea,Y,Y,N,Software,1999,Founder,31,The Hustler,Lee Hae-Jin
Poland,Y,N,N,Retail,NA,NA,NA,The Consistent,Dariusz Milek
South Korea,N,Y,N,Retail,NA,NA,NA,The Hustler,Chung Yong-Jin
Hong Kong,Y,N,Y,Logistics,2005,CEO,36,The Consistent,Zhang Zhirong
Russia,Y,Y,N,Telecom,NA,Founder,NA,The Hustler,Andrei Kuzyaev
Romania,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Frank (Vasile) Timis
New Zealand,Y,Y,N,Finance,NA,NA,NA,The Ghost,Stephen Jennings
United States,Y,Y,N,Fashion and Retail,2000,Founder,30,The Consistent,Sara Blakely
United Kingdom,Y,N,N,Investments,NA,NA,NA,The Ghost,Thomas Hunter
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Zhang Zhixiang
Turkey,N,Y,Y,Diversified,NA,NA,NA,The Ghost,Yildirim Ali Koc
Hong Kong,Y,N,Y,Energy,NA,NA,NA,The Ghost,Wu Jianlong
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost,Ricardo Constantino
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler,Andrei Filatov
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler,Konstantin Nikolaev
Russia,Y,Y,N,Real Estate,NA,Founder,NA,The Hustler,Nikita Mishin
India,Y,N,N,Investments,NA,NA,NA,The Ghost,Jignesh Shah
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost,Joaquim Constantino Neto
India,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Pradeep Jain
Japan,Y,N,N,Software,NA,Founder,NA,The Consistent,Yoshikazu Tanaka
Turkey,N,N,N,Diversified,NA,NA,NA,The Hustler,Serra Sabanci
Ukraine,Y,Y,N,Agriculture,NA,NA,NA,The Ghost,Andrey Verevskiy
Brazil,N,N,N,Logistics,NA,NA,NA,The Ghost,Constantino de Oliveira Jr
Brazil,N,Y,Y,Automotive,NA,NA,NA,The Ghost,Henrique Constantino
Lebanon,N,N,N,Diversified,NA,NA,NA,The Ghost,Hind Hariri
Brazil,N,N,Y,Media,1950,Relation,-8,The Hustler,Giancarlo Franceso Civita
Brazil,N,Y,N,Media,1950,Relation,NA,The Hustler,Roberta Anamaria Civita
Brazil,N,Y,N,Media,1950,Relation,NA,The Hustler,Victor Civita Neto
Austria,N,N,N,Manufacturing,1932,Relation,-10,The Hustler,Hubert Palfinger
China,Y,N,N,Retail,1992,Founder,50,The Hustler,Chen Zemin
Israel,Y,N,N,Finance,NA,Founder,NA,The Hustler,Zadik Bino
Brazil,N,N,Y,Diversified,NA,Relation,NA,The Hustler,Jose Ermirio de Moraes Neto
Brazil,N,Y,N,Diversified,NA,Relation,NA,The Hustler,Neide Helena de Moraes
Brazil,N,N,N,Diversified,NA,Relation,NA,The Hustler,Jose Roberto Ermirio de Moraes
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Cui Zhixiang
China,Y,N,Y,Software,2004,Founder,34,The Hustler,Yao Wenbin
Turkey,N,N,N,Media,NA,NA,NA,The Ghost,Arzuhan Dogan Yalcindag
Kazakhstan,Y,N,N,Finance,NA,NA,NA,The Ghost,Bakhytbek Baiseitov
Germany,Y,N,N,Service,NA,NA,NA,The Ghost,Gerd Brachmann
Macau,Y,N,N,Real Estate,1997,Vice Chairman,72,The Hustler,Lam Fong Ngo
Chile,N,N,N,Diversified,NA,NA,NA,The Ghost,Maria Noseda Zambra
Lebanon,N,N,N,Diversified,NA,NA,NA,The Ghost,Nazek Hariri
China,Y,N,N,Retail,1999,Founder,NA,The Hustler,Wu Xiong
United States,N,Y,N,Energy,NA,NA,NA,The Hustler,William Moncrief
United States,Y,N,N,Automotive,NA,NA,NA,The Hustler,O. Bruton Smith
Israel,Y,N,N,Software,1982,NA,53,The Consistent,Morris Kahn
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Joseph Benvenuti
United States,N,N,N,Retail,NA,NA,NA,The Ghost,David William Grainger
United States,Y,N,N,Media,NA,NA,NA,The Ghost,Dwight Opperman
United States,N,Y,N,Media,NA,NA,NA,The Ghost,Elizabeth Ann Hall Reid
United States,N,Y,N,Media,NA,NA,NA,The Ghost,Barbara Hall Marshall
United States,Y,Y,Y,Media,1928,Relation,5,The Ghost,Robert Galvin
United States,Y,Y,Y,Investments,1961,Founder,35,The Ghost,Arthur Rock
United States,N,N,N,Finance,NA,NA,NA,The Hustler,Norma Lerner
United States,Y,Y,Y,Manufacturing,1982,Founder,45,The Hustler,Jon Huntsman
United States,N,N,N,Media,1984,Relation,55,The Ghost,Mary Anselmo
Australia,Y,N,N,Media,NA,NA,NA,The Ghost,Bruce Gordon
France,N,N,N,Health care,1968,NA,31,The Hustler,Jeanine Dick
Austria,N,N,N,Manufacturing,1969,Relation,33,The Hustler,Max Turnauer
Japan,N,Y,N,Real Estate,NA,NA,NA,The Ghost,Minoru Mori
United States,Y,N,N,Finance,NA,NA,NA,The Consistent,Michael Steinhardt
United States,N,N,N,Food and Beverage,NA,NA,NA,The Ghost,Donald Tyson
United Arab Emirates,Y,N,N,Diversified,NA,NA,NA,The Ghost,Mahdi Al-Tajir
United States,Y,Y,N,Manufacturing,NA,NA,NA,The Ghost,Michael Heisley
Turkey,Y,N,N,Diversified,NA,NA,NA,The Ghost,Asim Kibar
France,N,N,N,Metals and Mining,NA,Relation,NA,The Hustler,Monique Louis-Dreyfus
United States,Y,N,N,Fashion and Retail,NA,NA,NA,The Hustler,Paul Fireman
Turkey,Y,N,N,Food and Beverage,NA,Founder,NA,The Consistent,Mustafa Latif Topbas
United States,Y,N,N,Finance,NA,NA,NA,The Ghost,Donald Marron
France,N,N,N,Metals and Mining,NA,NA,NA,The Hustler,Marie-Jeanne Meyer
Russia,Y,Y,N,Food and Beverage,NA,Founder,NA,The Consistent,Yuri Gushchin
Indonesia,Y,N,N,Metals and Mining,NA,NA,NA,The Hustler,Benny Subianto
United States,N,N,N,Technology,NA,NA,NA,The Ghost,Edward Watkins Jr
United States,Y,Y,Y,Energy,1983,NA,38,The Consistent,William Macaulay
Indonesia,Y,N,N,Real Estate,NA,NA,NA,The Hustler,Alexander Tedja
India,Y,Y,N,Health care,NA,NA,NA,The Ghost,K. Anji Reddy
United States,N,Y,N,Manufacturing,NA,NA,NA,The Ghost,Richard Manoogian
United States,Y,Y,N,Sports,NA,NA,NA,The Ghost,Ted Forstmann
Turkey,Y,N,N,Telecom,1994,NA,47,The Consistent,Murat Vargi
United Kingdom,Y,N,N,Retail,NA,NA,NA,The Hustler,Graham Kirkham
Germany,Y,N,N,Fashion and Retail,NA,NA,NA,The Ghost,Jurgen Friedrich
United States,N,Y,N,Food and Beverage,NA,NA,NA,The Ghost,Teresa F Heinz Kerry
United States,Y,Y,N,Investments,NA,NA,NA,The Hustler,Lowell Milken
United States,N,Y,N,Construction and Engineering,NA,NA,NA,The Ghost,Schar Dwight
Thailand,N,N,N,Diversified,1983,Founder,33,The Consistent,Surin Upatkoon
Israel,Y,N,N,Service,NA,NA,NA,The Ghost,Michael Federmann
United States,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Stephen Karp
India,Y,N,N,Finance,1986,Vice Chairman,35,The Hustler,Harindarpal Banga
China,Y,N,N,Food and Beverage,1986,Founder,36,The Consistent,Wang Yong
United States,N,N,N,Manufacturing,NA,NA,NA,The Ghost,Lynne Pasculano
United States,Y,Y,N,Media,NA,NA,NA,The Ghost,Michael Eisner
United States,N,Y,N,Sports,NA,NA,NA,The Ghost,Patrick Bowlen
Russia,Y,N,N,Finance,NA,Chairman,NA,The Hustler,Yuri Kovalchuk
United States,Y,Y,N,Real Estate,NA,NA,NA,The Ghost,Thomas Barrack
United States,Y,Y,Y,Service,NA,NA,NA,The Consistent,Bharat Desai
United States,Y,Y,Y,Retail,1984,Founder,35,The Hustler,C. James Koch
Turkey,Y,N,N,Construction and Engineering,1981,NA,28,The Consistent,Ali Ibrahim Agaoglu
Italy,Y,N,N,Fashion and Retail,1978,Founder,25,The Consistent,Brunello Cucinelli
Australia,Y,N,N,Manufacturing,1983,Founder,30,The Consistent,Huang Bingwen
Russia,Y,Y,N,Energy,NA,Founder,NA,The Consistent,Rustem Sulteev
Turkey,N,N,N,Media,NA,NA,NA,The Ghost,Sema Isil Dogan
China,Y,N,Y,Retail,NA,NA,NA,The Hustler,Liu Canglong
Russia,Y,Y,N,Diversified,NA,Founder,NA,The Consistent,Albert Shigaboutdinov
Norway,N,Y,N,Finance,1980,NA,25,The Consistent,Alexander Vik
Pakistan,N,N,N,Diversified,NA,NA,NA,The Ghost,Mian Muhammad Mansha
China,Y,N,N,Metals and Mining,NA,NA,NA,The Ghost,Wang Yiting
South Korea,N,Y,N,Diversified,NA,Relation,NA,The Consistent,Lee Hwa-Kyung
China,Y,N,N,Real Estate,NA,Founder,NA,The Hustler,Chen Miaolin
Serbia,Y,N,N,Finance,NA,NA,NA,The Ghost,Miroslav Miskovic
United States,Y,Y,N,Technology,NA,NA,NA,The Consistent,Fred Chang
Russia,Y,Y,N,Construction and Engineering,NA,Founder,NA,The Consistent,Boris Rotenberg
China,Y,N,N,Manufacturing,NA,NA,NA,The Consistent,Wang Jinshu
United States,Y,N,N,Retail,2004,Founder,51,The Hustler,Christopher Burch
Hong Kong,N,N,N,Real Estate,1962,Relation,8,The Hustler,Ina Chan
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost,Richard Fuld Jr
China,Y,N,N,Finance,2000,Chairman,42,The Hustler,Zhang Changhong
Japan,N,N,N,Investments,1978,President,30,The Ghost,Kenshin Oshima
South Korea,N,Y,Y,Manufacturing,NA,NA,NA,The Ghost,Koo Bon-Joon
Taiwan,N,N,N,Manufacturing,1991,NA,32,The Consistent,Wu Chung-Yi
Turkey,Y,N,N,Energy,NA,NA,NA,The Ghost,Mehmet Sepil
United States,Y,Y,Y,Finance,NA,NA,NA,The Ghost,Robert Agostinelli
Brazil,Y,N,N,Education,1987,Founder,31,The Hustler,Carlos Martins
China,Y,N,N,Automotive,NA,NA,NA,The Ghost,Niu Yishun
United States,N,Y,N,Finance,NA,NA,NA,The Hustler,Nancy Lerner
China,Y,N,N,Real Estate,NA,NA,NA,The Ghost,Huang Wenzai
Mexico,Y,N,N,Retail,NA,NA,NA,The Ghost,Joaquin Guzman Loera
Israel,Y,N,N,Diversified,NA,NA,NA,The Ghost,Nochi Dankner
China,Y,Y,N,Investments,NA,NA,NA,The Ghost,Wei Wenyuan
United States,N,Y,N,Finance,NA,NA,NA,The Hustler,Randolph Lerner
Russia,Y,Y,N,Finance,1992,Founder,34,The Hustler,Sergei Tsikalyuk
Russia,Y,N,N,Finance,NA,NA,NA,The Ghost,Vitaly Malkin
Russia,Y,Y,N,Construction and Engineering,1991,NA,29,The Consistent,Elena Baturina
United States,Y,Y,N,Investments,1993,Founder,31,The Consistent,Thomas Kaplan
China,Y,N,N,Real Estate,1995,NA,33,The Consistent,Wei Shaojun
South Korea,N,N,N,Manufacturing,NA,NA,NA,The Ghost,Koo Bon-Sik
United States,Y,N,N,Retail,NA,NA,NA,The Hustler,Michael Kors
China,Y,Y,N,Agriculture,NA,NA,NA,The Hustler,Liu Hanyuan
China,Y,N,N,Manufacturing,1984,Chairman,20,The Consistent,Nan Cunhui
Hong Kong,Y,N,Y,Retail,NA,NA,NA,The Ghost,Chen Jianqiang
